#options: 960x720 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=crf mbtree=1 crf=18.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=83 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:116 out:113 type:P dur:2 cpbdur:2 q:26.89 aq:20.51 tex:53704 mv:10377 misc:2287 imb:533 pmb:1309 smb:858 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:27.75 aq:19.97 tex:7618 mv:3665 misc:2261 imb:103 pmb:591 smb:2006 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:28.11 aq:21.24 tex:5381 mv:1799 misc:1596 imb:49 pmb:319 smb:2332 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:28.00 aq:20.96 tex:5810 mv:1551 misc:1623 imb:37 pmb:344 smb:2319 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:27.29 aq:20.89 tex:60884 mv:11950 misc:2254 imb:641 pmb:1344 smb:715 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:27.75 aq:19.89 tex:8564 mv:4621 misc:2479 imb:124 pmb:733 smb:1843 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:28.36 aq:22.50 tex:7016 mv:4180 misc:1980 imb:76 pmb:536 smb:2088 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:28.04 aq:20.80 tex:5757 mv:1730 misc:1633 imb:40 pmb:344 smb:2316 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:27.86 aq:21.22 tex:61281 mv:10975 misc:2416 imb:502 pmb:1250 smb:948 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:28.36 aq:21.62 tex:8952 mv:6544 misc:2656 imb:142 pmb:904 smb:1654 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:28.65 aq:21.66 tex:6211 mv:2297 misc:1820 imb:53 pmb:382 smb:2265 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:28.59 aq:23.20 tex:6863 mv:3533 misc:2084 imb:43 pmb:570 smb:2087 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:29.19 aq:23.23 tex:61479 mv:12055 misc:2346 imb:545 pmb:1152 smb:1003 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:29.34 aq:23.71 tex:11798 mv:5155 misc:2279 imb:81 pmb:689 smb:1930 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:29.70 aq:26.73 tex:7497 mv:5873 misc:2182 imb:52 pmb:731 smb:1917 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:29.44 aq:23.77 tex:7316 mv:2883 misc:1873 imb:48 pmb:457 smb:2195 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:29.03 aq:23.00 tex:54923 mv:11651 misc:2282 imb:575 pmb:1175 smb:950 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:29.65 aq:22.87 tex:7642 mv:4674 misc:2212 imb:86 pmb:566 smb:2048 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:29.93 aq:24.78 tex:7084 mv:4239 misc:1877 imb:82 pmb:494 smb:2124 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:29.78 aq:23.35 tex:4995 mv:2206 misc:1527 imb:34 pmb:327 smb:2339 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:29.64 aq:23.20 tex:59775 mv:13294 misc:2243 imb:704 pmb:1136 smb:860 d:- ref:0 ;
